"","title","year","date_published","genre","duration","country","language","avg_vote","votes"
"5903","La donna senza amore","1948","1948-03-08","Comedy",87,"USA","English",7.2,448
"5908","Il miracolo delle campane","1948","1948-03-27","Drama",120,"USA","English",6.6,808
"5912","Molti sogni per le strade","1948","1950-01-04","Comedy",84,"Italy","Italian",6.6,124
"5913","Mom and Dad","1945","1949-04-04","Drama",97,"USA","English",5.1,135
"5918","Mr. Perrin and Mr. Traill","1948","1948-09-27","Drama",92,"UK","English",6.8,171
"5922","My Brother's Keeper","1948","1948-08-09","Crime, Drama, Thriller",86,"UK","English",6.3,229
"5929","Tra moglie e marito","1948","1948-11-12","Comedy",96,"USA","English",5.8,190
"5931","Nodo scorsoio","1948","1948-10-18","Crime, Drama",76,"UK","English, French, Italian",6.3,274
"5932","Gianni e Pinotto contro i gangsters","1948","1948-04-05","Comedy",77,"USA","English",6.9,974
"5934","Le avventure di Oliver Twist","1948","1949-01-29","Drama",116,"UK","English",7.8,11025
"5943","I parenti terribili","1948","1948-12-01","Drama",105,"France","French",6.9,620
"5958","Richiamo d'ottobre","1948","1948-10-26","Comedy, Drama",98,"USA","English",6.1,170
"5961","Riso amaro","1949","1949-10-07","Drama",108,"Italy","Italian",7.7,3570
"5976","Senza pietà","1948","1949-07-22","Crime, Drama",90,"Italy","English, Italian, Spanish",6.7,274
"5979","Shozo","1948","1948-08-03","Drama",73,"Japan","Japanese",6.5,109
"5982","Un vigliacco ritorna","1949","1949-09-16","Drama",82,"UK","English",6.8,184
"5988","Strada senza ritorno","1948","1948-11-30","Thriller",85,"UK","English",6.4,153
"5990","Smart Woman","1948","1948-04-30","Drama, Romance",93,"USA","English",6.2,156
"5995","Così questa è New York","1948","1948-06-01","Comedy",79,"USA","English",6.5,218
"6001","L'impareggiabile Richard","1948","1948-09-13","Comedy",100,"UK","English",7,222
"6002","Lo stato dell'unione","1948","1948-10-28","Comedy, Drama",124,"USA","English",7.2,3400
"6014","Tenth Avenue Angel","1948","1948-02-20","Drama",74,"USA","English",6.7,542
"6015","La terra trema","1948","1949-12-03","Drama",160,"Italy","Sicilian, Italian",7.8,4267
"6022","The Three Weird Sisters","1948","1948-07-12","Crime, Drama",82,"UK","English",6.6,129
